Product Id,Product Name,Price,Link of the product,Color,Scraped Image Link
465005,Drew Small Leather Swivel Accent Chair,$1899,https://www.crateandbarrel.com//drew-small-leather-swivel-accent-chair/s465005,"['Bruno Penny', 'Bruno Truffle', 'Bruno Night']",https://cb.scene7.com/is/image/Crate/DrewLthSwivelChrBrnPny3QSSF23/raw/230626151331/drew-small-leather-swivel-accent-chair.jpg
318753,Pose Natural Wood and Leather Accent Chair,$1599,https://www.crateandbarrel.com//pose-natural-wood-and-leather-accent-chair/s318753,"['Mason Fern', 'Mason Ale', 'Mason Lead', 'Mason Stone']",https://cb.scene7.com/is/image/Crate/PoseNatLthrChair3QSSS23/raw/230123100249/pose-natural-wood-and-leather-accent-chair.jpg
502750,Oceanside Leather Deep-Seat Swivel Chair,$2299,https://www.crateandbarrel.com//oceanside-leather-deep-seat-swivel-chair/s502750,"['Arroyo Stone', 'Arroyo Shadow', 'Arroyo Sand', 'Arroyo Cognac']",https://cb.scene7.com/is/image/Crate/OceansideLthSwvlChrStn3QSSF23/raw/230620152340/oceanside-leather-deep-seat-swivel-chair.jpg
429159,Axis Leather Swivel Chair,$2199,https://www.crateandbarrel.com//axis-leather-swivel-chair/s429159,"['Libby Camel', 'Libby Mushroom', 'Libby Storm', 'Libby Sumatra', 'Libby Cashew']",https://cb.scene7.com/is/image/Crate/AxisIILthSwvChairLibCamel3QSSF23/raw/230807154032/axis-leather-swivel-chair.jpg
474913,Lounge Leather Chair,$2099,https://www.crateandbarrel.com//lounge-leather-chair/s474913,"['Lukas Iron', 'Lukas Charcoal', 'Lukas Pecan', 'Lukas Toffee']",https://cb.scene7.com/is/image/Crate/LoungIILthr40CharIronSSS23/raw/230217111713/lounge-leather-chair.jpg
538308,Gather Deep Swivel Chair,$1199,https://www.crateandbarrel.com//gather-deep-swivel-chair/s538308,"['Icon Metal', 'Icon White', 'Monet Frost', 'Bliss Cloud', 'Tribute Quartz']",https://cb.scene7.com/is/image/Crate/GatherSwvlChrIcnMtl3QS20_3D/raw/230928123249/gather-deep-swivel-chair.jpg
129469,Tillery Antigo Natural Fabric Power Recliner Accent Chair,$1499,https://www.crateandbarrel.com//tillery-antigo-natural-fabric-power-recliner-accent-chair/s129469,[],https://cb.scene7.com/is/image/Crate/TilleryANFbPwRclnrChr3QSSF23/raw/231106120322/tillery-antigo-natural-fabric-power-recliner-accent-chair.jpg
176191,Sculpt Velvet Accent Chair,$899,https://www.crateandbarrel.com//sculpt-velvet-accent-chair/s176191,[],https://cb.scene7.com/is/image/Crate/SculptChairDkBlue3QSSF22_3D/raw/220825160555/sculpt-velvet-accent-chair.jpg
412925,Powell White Fabric Wingback Lounge Accent Chair,$899,https://www.crateandbarrel.com//powell-white-fabric-wingback-lounge-accent-chair/s412925,[],https://cb.scene7.com/is/image/Crate/PowellSwivelChairMP3QSSF22_3D/raw/220527135325/powell-white-fabric-wingback-lounge-chair.jpg
233494,Harper Shearling Accent Chair,$1299,https://www.crateandbarrel.com//harper-shearling-accent-chair/s233494,[],https://cb.scene7.com/is/image/Crate/HarperShrlngAccentChair3QSSF21/raw/210818132407/harper-shearling-accent-chair.jpg
146182,Fields Cane Dark Brown and White Chair,$999,https://www.crateandbarrel.com//fields-cane-dark-brown-and-white-chair/s146182,"['Dark Brown and White', 'Natural and White', 'Dark Brown and Charcoal', 'Whitewash and Natural', 'Whitewash and White']",https://cb.scene7.com/is/image/Crate/FieldsCaneBckBlkAcntChairWht3QSSS21/raw/200928114306/fields-cane-dark-brown-and-white-chair-by-leanne-ford.jpg
